DATASET,GAME,PLAYER,ACTION,ORIGINAL_ACTION,COUNT
CVH03,CVH03-7,2,1,L,35
CVH03,CVH03-7,2,2,R,152
CVH03,CVH03-8,1,2,B,50
CVH03,CVH03-8,1,1,T,137
CVH03,CVH03-8,2,1,L,161
CVH03,CVH03-8,2,2,R,26
RPC09,CLONED-MATCHING-PENNIES,1,1,A,29
RPC09,CLONED-MATCHING-PENNIES,1,2,B,4
RPC09,CLONED-MATCHING-PENNIES,1,3,C,4
RPC09,CLONED-MATCHING-PENNIES,2,1,A,26
RPC09,CLONED-MATCHING-PENNIES,2,2,B,8
RPC09,CLONED-MATCHING-PENNIES,2,3,C,3
RPC09,CLONED-STAG-HUNT-HI,1,1,A,13
RPC09,CLONED-STAG-HUNT-HI,1,2,B,10
RPC09,CLONED-STAG-HUNT-HI,1,3,C,6
RPC09,CLONED-STAG-HUNT-HI,2,1,A,26
RPC09,CLONED-STAG-HUNT-HI,2,2,B,3
RPC09,CLONED-STAG-HUNT-LOW,1,1,A,7
RPC09,CLONED-STAG-HUNT-LOW,1,2,B,5
RPC09,CLONED-STAG-HUNT-LOW,1,3,C,17
RPC09,CLONED-STAG-HUNT-LOW,2,1,A,10
RPC09,CLONED-STAG-HUNT-LOW,2,2,B,19
RPC09,CLONED-JOKER,1,1,A,2
RPC09,CLONED-JOKER,1,2,B,2
RPC09,CLONED-JOKER,1,3,C,5
RPC09,CLONED-JOKER,1,4,D,8
RPC09,CLONED-JOKER,1,5,E,12
RPC09,CLONED-JOKER,2,1,A,11
RPC09,CLONED-JOKER,2,2,B,10
RPC09,CLONED-JOKER,2,3,C,5
RPC09,CLONED-JOKER,2,4,D,3
CGW08,CGW08-1,1,1,T,17
CGW08,CGW08-1,1,2,M,33
CGW08,CGW08-1,1,3,B,16
CGW08,CGW08-1,2,1,T,28
CGW08,CGW08-1,2,2,M,15
CGW08,CGW08-1,2,3,B,19
CGW08,CGW08-2,1,1,T,11
CGW08,CGW08-2,1,2,M,49
CGW08,CGW08-2,1,3,B,6
CGW08,CGW08-2,2,1,T,10
CGW08,CGW08-2,2,2,M,28
CGW08,CGW08-2,2,3,B,24
CGW08,CGW08-3,1,1,T,39
CGW08,CGW08-3,1,2,M,10
CGW08,CGW08-3,1,3,B,17
CGW08,CGW08-3,2,1,T,2
CGW08,CGW08-3,2,2,M,47
CGW08,CGW08-3,2,3,B,13
CGW08,CGW08-4,1,1,T,53
CGW08,CGW08-4,1,2,M,13
CGW08,CGW08-4,1,3,B,0
CGW08,CGW08-4,2,1,T,42
CGW08,CGW08-4,2,2,M,15
CGW08,CGW08-4,2,3,B,5
CGW08,CGW08-5,1,1,T,20
CGW08,CGW08-5,1,2,M,2
CGW08,CGW08-5,1,3,B,44
CGW08,CGW08-5,2,1,T,54
CGW08,CGW08-5,2,2,M,4
CGW08,CGW08-5,2,3,B,4
CGW08,CGW08-6,1,1,T,3
CGW08,CGW08-6,1,2,M,58
CGW08,CGW08-6,1,3,B,5
CGW08,CGW08-6,2,1,T,7
CGW08,CGW08-6,2,2,M,18
CGW08,CGW08-6,2,3,B,37
CGW08,CGW08-7,1,1,T,20
CGW08,CGW08-7,1,2,M,17
CGW08,CGW08-7,1,3,B,29
CGW08,CGW08-7,2,1,T,18
CGW08,CGW08-7,2,2,M,13
CGW08,CGW08-7,2,3,B,31
CGW08,CGW08-8,1,1,T,7
CGW08,CGW08-8,1,2,M,21
CGW08,CGW08-8,1,3,B,38
CGW08,CGW08-8,2,1,T,24
CGW08,CGW08-8,2,2,M,25
CGW08,CGW08-8,2,3,B,13
CGW08,CGW08-9,1,1,T,50
CGW08,CGW08-9,1,2,M,16
CGW08,CGW08-9,1,3,B,0
CGW08,CGW08-9,2,1,T,29
CGW08,CGW08-9,2,2,M,10
CGW08,CGW08-9,2,3,B,23
CGW08,CGW08-10,1,1,T,25
CGW08,CGW08-10,1,2,M,8
CGW08,CGW08-10,1,3,B,33
CGW08,CGW08-10,2,1,T,42
CGW08,CGW08-10,2,2,M,19
CGW08,CGW08-10,2,3,B,1
CGW08,CGW08-11,1,1,T,7
