round,col_play,row_play,row_game,col_game,treatment,type
23,"(0.0, 0.35294117647058826, 0.6470588235294118)","(0.0625, 0.0, 0.9375)","[[[8.0, 1.0], [3.0, 9.0], [4.0, 7.0]], [[8.0, 1.0], [1.0, 8.0], [1.0, 8.0]], [[9.0, 3.0], [9.0, 4.0], [4.0, 9.0]]]","[[[1.0, 8.0], [1.0, 8.0], [3.0, 9.0]], [[9.0, 3.0], [8.0, 1.0], [4.0, 9.0]], [[7.0, 4.0], [8.0, 1.0], [9.0, 4.0]]]",negative,treatment
24,"(0.0, 0.9411764705882353, 0.058823529411764705)","(0.0625, 0.0625, 0.875)","[[[3.0, 8.0], [4.0, 8.0], [7.0, 0.0]], [[4.0, 6.0], [4.0, 8.0], [0.0, 8.0]], [[9.0, 1.0], [5.0, 6.0], [8.0, 3.0]]]","[[[8.0, 3.0], [6.0, 4.0], [1.0, 9.0]], [[8.0, 4.0], [8.0, 4.0], [6.0, 5.0]], [[0.0, 7.0], [8.0, 0.0], [3.0, 8.0]]]",negative,treatment
25,"(0.8823529411764706, 0.11764705882352941, 0.0)","(0.25, 0.75, 0.0)","[[[2.0, 6.0], [8.0, 3.0], [6.0, 5.0]], [[4.0, 6.0], [5.0, 7.0], [2.0, 7.0]], [[1.0, 9.0], [5.0, 6.0], [7.0, 3.0]]]","[[[6.0, 2.0], [6.0, 4.0], [9.0, 1.0]], [[3.0, 8.0], [7.0, 5.0], [6.0, 5.0]], [[5.0, 6.0], [7.0, 2.0], [3.0, 7.0]]]",negative,treatment
26,"(0.0, 0.0625, 0.9375)","(0.7647058823529411, 0.058823529411764705, 0.17647058823529413)","[[[9.0, 3.0], [4.0, 6.0], [6.0, 8.0]], [[1.0, 6.0], [4.0, 8.0], [3.0, 5.0]], [[8.0, 2.0], [9.0, 2.0], [3.0, 7.0]]]","[[[3.0, 9.0], [6.0, 1.0], [2.0, 8.0]], [[6.0, 4.0], [8.0, 4.0], [2.0, 9.0]], [[8.0, 6.0], [5.0, 3.0], [7.0, 3.0]]]",negative,treatment
27,"(0.25, 0.75, 0.0)","(0.23529411764705882, 0.17647058823529413, 0.5882352941176471)","[[[9.0, 2.0], [2.0, 6.0], [4.0, 4.0]], [[3.0, 9.0], [5.0, 8.0], [8.0, 0.0]], [[6.0, 5.0], [6.0, 3.0], [4.0, 4.0]]]","[[[2.0, 9.0], [9.0, 3.0], [5.0, 6.0]], [[6.0, 2.0], [8.0, 5.0], [3.0, 6.0]], [[4.0, 4.0], [0.0, 8.0], [4.0, 4.0]]]",negative,treatment
28,"(0.0, 0.0, 1.0)","(0.8823529411764706, 0.11764705882352941, 0.0)","[[[9.0, 1.0], [5.0, 1.0], [5.0, 4.0]], [[8.0, 0.0], [1.0, 6.0], [7.0, 2.0]], [[1.0, 6.0], [0.0, 7.0], [1.0, 7.0]]]","[[[1.0, 9.0], [0.0, 8.0], [6.0, 1.0]], [[1.0, 5.0], [6.0, 1.0], [7.0, 0.0]], [[4.0, 5.0], [2.0, 7.0], [7.0, 1.0]]]",negative,treatment
29,"(0.0625, 0.125, 0.8125)","(0.6470588235294118, 0.11764705882352941, 0.23529411764705882)","[[[9.0, 1.0], [9.0, 3.0], [2.0, 6.0]], [[0.0, 9.0], [6.0, 4.0], [1.0, 8.0]], [[7.0, 4.0], [3.0, 7.0], [1.0, 5.0]]]","[[[1.0, 9.0], [9.0, 0.0], [4.0, 7.0]], [[3.0, 9.0], [4.0, 6.0], [7.0, 3.0]], [[6.0, 2.0], [8.0, 1.0], [5.0, 1.0]]]",negative,treatment
30,"(0.8235294117647058, 0.11764705882352941, 0.058823529411764705)","(0.4375, 0.1875, 0.375)","[[[5.0, 5.0], [4.0, 5.0], [8.0, 1.0]], [[3.0, 7.0], [8.0, 1.0], [7.0, 3.0]], [[8.0, 3.0], [4.0, 7.0], [3.0, 8.0]]]","[[[5.0, 5.0], [7.0, 3.0], [3.0, 8.0]], [[5.0, 4.0], [1.0, 8.0], [7.0, 4.0]], [[1.0, 8.0], [3.0, 7.0], [8.0, 3.0]]]",negative,treatment
31,"(0.0625, 0.5, 0.4375)","(0.11764705882352941, 0.23529411764705882, 0.6470588235294118)","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]","[[[8, 8], [2, 6], [0, 5]], [[6, 2], [6, 6], [2, 5]], [[5, 0], [5, 2], [5, 5]]]",negative,comparison
32,"(0.0, 0.3125, 0.6875)","(0.0, 0.8823529411764706, 0.11764705882352941)","[[[1.0, 6.0], [3.0, 5.0], [3.0, 3.0]], [[8.0, 0.0], [7.0, 4.0], [6.0, 7.0]], [[1.0, 8.0], [9.0, 5.0], [4.0, 4.0]]]","[[[6.0, 1.0], [0.0, 8.0], [8.0, 1.0]], [[5.0, 3.0], [4.0, 7.0], [5.0, 9.0]], [[3.0, 3.0], [7.0, 6.0], [4.0, 4.0]]]",negative,treatment
33,"(0.11764705882352941, 0.8235294117647058, 0.058823529411764705)","(0.9375, 0.0625, 0.0)","[[[4.0, 6.0], [7.0, 6.0], [5.0, 5.0]], [[4.0, 6.0], [6.0, 5.0], [3.0, 7.0]], [[6.0, 2.0], [1.0, 9.0], [8.0, 3.0]]]","[[[6.0, 4.0], [6.0, 4.0], [2.0, 6.0]], [[6.0, 7.0], [5.0, 6.0], [9.0, 1.0]], [[5.0, 5.0], [7.0, 3.0], [3.0, 8.0]]]",negative,treatment
34,"(0.5882352941176471, 0.35294117647058826, 0.058823529411764705)","(0.0625, 0.0625, 0.875)","[[[4.0, 7.0], [4.0, 7.0], [6.0, 6.0]], [[2.0, 9.0], [7.0, 4.0], [8.0, 3.0]], [[8.0, 4.0], [8.0, 5.0], [9.0, 4.0]]]","[[[7.0, 4.0], [9.0, 2.0], [4.0, 8.0]], [[7.0, 4.0], [4.0, 7.0], [5.0, 8.0]], [[6.0, 6.0], [3.0, 8.0], [4.0, 9.0]]]",negative,treatment
