col,col_play,round,row,row_play,session_code,type
"[[[8.0, 6.0], [7.0, 7.0], [8.0, 5.0]], [[5.0, 4.0], [5.0, 6.0], [7.0, 2.0]], [[6.0, 8.0], [1.0, 3.0], [2.0, 1.0]]]","[1.0,0.0,0.0]",11,"[[[6.0, 8.0], [4.0, 5.0], [8.0, 6.0]], [[7.0, 7.0], [6.0, 5.0], [3.0, 1.0]], [[5.0, 8.0], [2.0, 7.0], [1.0, 2.0]]]","[0.3125,0.6875,0.0]",viazupku,treatment
"[[[9.0, 9.0], [3.0, 3.0], [0.0, 0.0]], [[5.0, 3.0], [2.0, 2.0], [9.0, 8.0]], [[7.0, 7.0], [3.0, 5.0], [7.0, 6.0]]]","[0.5714285714285714,0.07142857142857142,0.35714285714285715]",12,"[[[9.0, 9.0], [3.0, 5.0], [7.0, 7.0]], [[3.0, 3.0], [2.0, 2.0], [5.0, 3.0]], [[0.0, 0.0], [8.0, 9.0], [6.0, 7.0]]]","[0.9375,0.0,0.0625]",viazupku,treatment
"[[[6.0, 7.0], [1.0, 0.0], [4.0, 6.0]], [[8.0, 7.0], [9.0, 9.0], [6.0, 5.0]], [[3.0, 5.0], [8.0, 7.0], [5.0, 8.0]]]","[0.0,1.0,0.0]",13,"[[[7.0, 6.0], [7.0, 8.0], [5.0, 3.0]], [[0.0, 1.0], [9.0, 9.0], [7.0, 8.0]], [[6.0, 4.0], [5.0, 6.0], [8.0, 5.0]]]","[0.0625,0.875,0.0625]",viazupku,treatment
"[[[9.0, 7.0], [8.0, 9.0], [3.0, 6.0]], [[5.0, 8.0], [2.0, 2.0], [7.0, 7.0]], [[8.0, 7.0], [1.0, 2.0], [1.0, 1.0]]]","[1.0,0.0,0.0]",14,"[[[7.0, 9.0], [8.0, 5.0], [7.0, 8.0]], [[9.0, 8.0], [2.0, 2.0], [2.0, 1.0]], [[6.0, 3.0], [7.0, 7.0], [1.0, 1.0]]]","[0.375,0.5,0.125]",viazupku,treatment
"[[[5.0, 5.0], [9.0, 6.0], [2.0, 3.0]], [[5.0, 1.0], [9.0, 5.0], [5.0, 4.0]], [[8.0, 8.0], [3.0, 0.0], [9.0, 9.0]]]","[0.21428571428571427,0.14285714285714285,0.6428571428571429]",15,"[[[5.0, 5.0], [1.0, 5.0], [8.0, 8.0]], [[6.0, 9.0], [5.0, 9.0], [0.0, 3.0]], [[3.0, 2.0], [4.0, 5.0], [9.0, 9.0]]]","[0.25,0.0625,0.6875]",viazupku,treatment
"[[[2.0, 3.0], [1.0, 4.0], [2.0, 1.0]], [[5.0, 6.0], [5.0, 3.0], [5.0, 9.0]], [[6.0, 7.0], [5.0, 5.0], [0.0, 2.0]]]","[0.0,0.7857142857142857,0.21428571428571427]",16,"[[[3.0, 2.0], [6.0, 5.0], [7.0, 6.0]], [[4.0, 1.0], [3.0, 5.0], [5.0, 5.0]], [[1.0, 2.0], [9.0, 5.0], [2.0, 0.0]]]","[0.5625,0.0625,0.375]",viazupku,treatment
"[[[1.0, 0.0], [1.0, 0.0], [4.0, 0.0]], [[2.0, 0.0], [1.0, 1.0], [9.0, 6.0]], [[0.0, 2.0], [5.0, 6.0], [5.0, 5.0]]]","[0.0,0.7857142857142857,0.21428571428571427]",17,"[[[0.0, 1.0], [0.0, 2.0], [2.0, 0.0]], [[0.0, 1.0], [1.0, 1.0], [6.0, 5.0]], [[0.0, 4.0], [6.0, 9.0], [5.0, 5.0]]]","[0.0,0.0,1.0]",viazupku,treatment
"[[[3.0, 5.0], [9.0, 9.0], [7.0, 6.0]], [[0.0, 2.0], [3.0, 4.0], [5.0, 8.0]], [[8.0, 5.0], [5.0, 3.0], [5.0, 3.0]]]","[0.8571428571428571,0.0,0.14285714285714285]",18,"[[[5.0, 3.0], [2.0, 0.0], [5.0, 8.0]], [[9.0, 9.0], [4.0, 3.0], [3.0, 5.0]], [[6.0, 7.0], [8.0, 5.0], [3.0, 5.0]]]","[0.0625,0.875,0.0625]",viazupku,treatment
"[[[0.0, 0.0], [8.0, 6.0], [0.0, 1.0]], [[5.0, 4.0], [8.0, 5.0], [9.0, 8.0]], [[7.0, 8.0], [7.0, 6.0], [1.0, 1.0]]]","[0.0,0.7857142857142857,0.21428571428571427]",19,"[[[0.0, 0.0], [4.0, 5.0], [8.0, 7.0]], [[6.0, 8.0], [5.0, 8.0], [6.0, 7.0]], [[1.0, 0.0], [8.0, 9.0], [1.0, 1.0]]]","[0.0,0.1875,0.8125]",viazupku,treatment
"[[[6.0, 9.0], [7.0, 8.0], [0.0, 2.0]], [[4.0, 1.0], [8.0, 9.0], [5.0, 3.0]], [[5.0, 7.0], [3.0, 5.0], [6.0, 5.0]]]","[0.0,1.0,0.0]",20,"[[[9.0, 6.0], [1.0, 4.0], [7.0, 5.0]], [[8.0, 7.0], [9.0, 8.0], [5.0, 3.0]], [[2.0, 0.0], [3.0, 5.0], [5.0, 6.0]]]","[0.0625,0.9375,0.0]",viazupku,treatment
