col,col_play,round,row,row_play,session_code,type
"[[[6.0, 5.0], [2.0, 8.0], [7.0, 8.0]], [[5.0, 3.0], [9.0, 1.0], [3.0, 8.0]], [[4.0, 6.0], [4.0, 6.0], [1.0, 6.0]]]","[0.5333333333333333,0.4,0.06666666666666667]",23,"[[[5.0, 6.0], [3.0, 5.0], [6.0, 4.0]], [[8.0, 2.0], [1.0, 9.0], [6.0, 4.0]], [[8.0, 7.0], [8.0, 3.0], [6.0, 1.0]]]","[0.0,0.06666666666666667,0.9333333333333333]",viazupku,treatment
"[[[7.0, 2.0], [6.0, 7.0], [5.0, 9.0]], [[7.0, 1.0], [4.0, 7.0], [7.0, 4.0]], [[5.0, 5.0], [5.0, 6.0], [7.0, 1.0]]]","[0.6666666666666666,0.06666666666666667,0.26666666666666666]",24,"[[[2.0, 7.0], [1.0, 7.0], [5.0, 5.0]], [[7.0, 6.0], [7.0, 4.0], [6.0, 5.0]], [[9.0, 5.0], [4.0, 7.0], [1.0, 7.0]]]","[0.0,0.8,0.2]",viazupku,treatment
"[[[6.0, 6.0], [7.0, 6.0], [4.0, 6.0]], [[4.0, 5.0], [3.0, 7.0], [6.0, 6.0]], [[3.0, 7.0], [2.0, 6.0], [9.0, 0.0]]]","[1.0,0.0,0.0]",25,"[[[6.0, 6.0], [5.0, 4.0], [7.0, 3.0]], [[6.0, 7.0], [7.0, 3.0], [6.0, 2.0]], [[6.0, 4.0], [6.0, 6.0], [0.0, 9.0]]]","[0.2,0.7333333333333333,0.06666666666666667]",viazupku,treatment
"[[[4.0, 3.0], [2.0, 6.0], [8.0, 3.0]], [[7.0, 6.0], [8.0, 4.0], [4.0, 6.0]], [[8.0, 2.0], [2.0, 6.0], [0.0, 8.0]]]","[0.0,1.0,0.0]",26,"[[[3.0, 4.0], [6.0, 7.0], [2.0, 8.0]], [[6.0, 2.0], [4.0, 8.0], [6.0, 2.0]], [[3.0, 8.0], [6.0, 4.0], [8.0, 0.0]]]","[0.06666666666666667,0.4666666666666667,0.4666666666666667]",viazupku,treatment
"[[[2.0, 9.0], [6.0, 6.0], [1.0, 8.0]], [[3.0, 9.0], [4.0, 6.0], [1.0, 5.0]], [[5.0, 4.0], [6.0, 7.0], [4.0, 3.0]]]","[0.0,0.0,1.0]",27,"[[[9.0, 2.0], [9.0, 3.0], [4.0, 5.0]], [[6.0, 6.0], [6.0, 4.0], [7.0, 6.0]], [[8.0, 1.0], [5.0, 1.0], [3.0, 4.0]]]","[0.4666666666666667,0.5333333333333333,0.0]",viazupku,treatment
"[[[3.0, 8.0], [9.0, 0.0], [5.0, 0.0]], [[1.0, 9.0], [1.0, 7.0], [6.0, 5.0]], [[6.0, 7.0], [2.0, 8.0], [9.0, 1.0]]]","[0.5333333333333333,0.0,0.4666666666666667]",28,"[[[8.0, 3.0], [9.0, 1.0], [7.0, 6.0]], [[0.0, 9.0], [7.0, 1.0], [8.0, 2.0]], [[0.0, 5.0], [5.0, 6.0], [1.0, 9.0]]]","[0.9333333333333333,0.06666666666666667,0.0]",viazupku,treatment
"[[[4.0, 7.0], [0.0, 8.0], [6.0, 3.0]], [[2.0, 7.0], [5.0, 6.0], [5.0, 1.0]], [[7.0, 3.0], [5.0, 5.0], [6.0, 3.0]]]","[0.0,0.13333333333333333,0.8666666666666667]",29,"[[[7.0, 4.0], [7.0, 2.0], [3.0, 7.0]], [[8.0, 0.0], [6.0, 5.0], [5.0, 5.0]], [[3.0, 6.0], [1.0, 5.0], [3.0, 6.0]]]","[0.06666666666666667,0.9333333333333333,0.0]",viazupku,treatment
"[[[4.0, 7.0], [8.0, 6.0], [6.0, 3.0]], [[7.0, 3.0], [8.0, 4.0], [3.0, 8.0]], [[3.0, 6.0], [9.0, 2.0], [8.0, 1.0]]]","[0.6,0.26666666666666666,0.13333333333333333]",30,"[[[7.0, 4.0], [3.0, 7.0], [6.0, 3.0]], [[6.0, 8.0], [4.0, 8.0], [2.0, 9.0]], [[3.0, 6.0], [8.0, 3.0], [1.0, 8.0]]]","[0.7333333333333333,0.26666666666666666,0.0]",viazupku,treatment
"[[[0, 4], [8, 8], [3, 5]], [[1, 4], [5, 3], [5, 5]], [[4, 4], [4, 0], [4, 1]]]","[0.6,0.0,0.4]",31,"[[[4, 0], [4, 1], [4, 4]], [[8, 8], [3, 5], [0, 4]], [[5, 3], [5, 5], [1, 4]]]","[0.4,0.3333333333333333,0.26666666666666666]",viazupku,comparison
"[[[7.0, 2.0], [9.0, 4.0], [5.0, 7.0]], [[5.0, 7.0], [5.0, 8.0], [2.0, 9.0]], [[1.0, 8.0], [6.0, 5.0], [5.0, 6.0]]]","[1.0,0.0,0.0]",32,"[[[2.0, 7.0], [7.0, 5.0], [8.0, 1.0]], [[4.0, 9.0], [8.0, 5.0], [5.0, 6.0]], [[7.0, 5.0], [9.0, 2.0], [6.0, 5.0]]]","[0.06666666666666667,0.0,0.9333333333333333]",viazupku,treatment
"[[[2.0, 8.0], [8.0, 0.0], [0.0, 5.0]], [[5.0, 5.0], [4.0, 6.0], [4.0, 4.0]], [[2.0, 9.0], [8.0, 1.0], [5.0, 4.0]]]","[0.0,0.8666666666666667,0.13333333333333333]",33,"[[[8.0, 2.0], [5.0, 5.0], [9.0, 2.0]], [[0.0, 8.0], [6.0, 4.0], [1.0, 8.0]], [[5.0, 0.0], [4.0, 4.0], [4.0, 5.0]]]","[0.8,0.06666666666666667,0.13333333333333333]",viazupku,treatment
"[[[5.0, 2.0], [7.0, 3.0], [3.0, 8.0]], [[5.0, 4.0], [6.0, 0.0], [5.0, 6.0]], [[7.0, 7.0], [7.0, 7.0], [2.0, 9.0]]]","[0.0,0.6666666666666666,0.3333333333333333]",34,"[[[2.0, 5.0], [4.0, 5.0], [7.0, 7.0]], [[3.0, 7.0], [0.0, 6.0], [7.0, 7.0]], [[8.0, 3.0], [6.0, 5.0], [9.0, 2.0]]]","[0.13333333333333333,0.06666666666666667,0.8]",viazupku,treatment
"[[[2.0, 9.0], [2.0, 6.0], [6.0, 5.0]], [[1.0, 7.0], [3.0, 4.0], [2.0, 7.0]], [[7.0, 3.0], [1.0, 9.0], [8.0, 4.0]]]","[0.13333333333333333,0.06666666666666667,0.8]",35,"[[[9.0, 2.0], [7.0, 1.0], [3.0, 7.0]], [[6.0, 2.0], [4.0, 3.0], [9.0, 1.0]], [[5.0, 6.0], [7.0, 2.0], [4.0, 8.0]]]","[0.26666666666666666,0.6,0.13333333333333333]",viazupku,treatment
"[[[1.0, 9.0], [5.0, 6.0], [7.0, 8.0]], [[5.0, 7.0], [3.0, 8.0], [0.0, 8.0]], [[0.0, 7.0], [5.0, 8.0], [9.0, 1.0]]]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]",36,"[[[9.0, 1.0], [7.0, 5.0], [7.0, 0.0]], [[6.0, 5.0], [8.0, 3.0], [8.0, 5.0]], [[8.0, 7.0], [8.0, 0.0], [1.0, 9.0]]]","[0.5333333333333333,0.4666666666666667,0.0]",viazupku,treatment
"[[[8, 8], [2, 9], [3, 1]], [[9, 2], [3, 3], [2, 0]], [[0, 1], [1, 1], [1, 1]]]","[0.6,0.4,0.0]",37,"[[[8, 8], [2, 9], [1, 0]], [[9, 2], [3, 3], [1, 1]], [[1, 3], [0, 2], [1, 1]]]","[0.2,0.8,0.0]",viazupku,comparison
"[[[9.0, 3.0], [3.0, 8.0], [2.0, 8.0]], [[2.0, 7.0], [9.0, 0.0], [4.0, 7.0]], [[5.0, 3.0], [3.0, 9.0], [4.0, 5.0]]]","[0.26666666666666666,0.5333333333333333,0.2]",38,"[[[3.0, 9.0], [7.0, 2.0], [3.0, 5.0]], [[8.0, 3.0], [0.0, 9.0], [9.0, 3.0]], [[8.0, 2.0], [7.0, 4.0], [5.0, 4.0]]]","[0.0,0.0,1.0]",viazupku,treatment
"[[[2.0, 8.0], [3.0, 9.0], [3.0, 9.0]], [[6.0, 5.0], [7.0, 3.0], [6.0, 6.0]], [[7.0, 1.0], [0.0, 9.0], [3.0, 6.0]]]","[0.06666666666666667,0.9333333333333333,0.0]",39,"[[[8.0, 2.0], [5.0, 6.0], [1.0, 7.0]], [[9.0, 3.0], [3.0, 7.0], [9.0, 0.0]], [[9.0, 3.0], [6.0, 6.0], [6.0, 3.0]]]","[0.0,0.2,0.8]",viazupku,treatment
